name,sex,captures,recaptures,number_surveys,DFR,TFR,KFR,time_from,time_to,delta_time
Female_1,female,1,0,1,1,0,0,06/12/2018,06/12/2018,0
Female_2,female,1,0,1,0,1,0,01/02/2016,01/02/2016,0
Female_3,female,1,0,1,1,0,0,10/27/2014,10/27/2014,0
Female_4,female,1,0,1,1,0,0,04/05/2015,04/05/2015,0
Female_5,female,1,0,1,1,0,0,08/27/2016,08/27/2016,0
Female_6,female,2,0,1,1,0,0,04/05/2015,04/06/2015,1
Female_7,female,2,1,1,1,0,0,01/13/2015,01/20/2015,7
Female_8,female,2,1,1,0,1,0,08/25/2015,09/19/2015,25
Female_9,female,2,0,1,1,0,0,11/17/2014,12/13/2014,26
Female_10,female,5,3,2,1,0,0,06/12/2017,09/08/2017,88
Female_11,female,2,1,1,1,0,0,05/05/2018,08/14/2018,101
Female_12,female,3,1,2,1,0,0,10/25/2014,02/24/2015,122
Female_13,female,4,3,2,0,1,0,08/10/2015,01/11/2016,154
Female_14,female,3,1,2,1,1,0,05/29/2018,12/10/2018,195
Female_15,female,2,0,1,1,0,0,07/14/2017,04/13/2018,273
Female_16,female,2,0,1,1,0,0,05/31/2016,04/16/2017,320
Female_17,female,19,11,2,1,0,0,04/20/2017,01/29/2019,649
Female_18,female,4,2,2,1,0,1,05/01/2016,07/17/2018,807
Female_19,female,3,1,3,1,0,0,02/20/2015,09/13/2017,936
Female_20,female,14,6,4,1,0,0,11/23/2014,03/21/2018,1214
Female_21,female,5,3,3,1,0,0,11/19/2014,07/27/2018,1346
Female_22,female,4,2,2,0,1,0,07/03/2009,01/05/2016,2377
Male_1,male,1,0,1,1,0,0,02/18/2017,02/18/2017,0
Male_2,male,1,0,1,0,1,0,06/17/2023,06/17/2023,0
Male_3,male,2,0,1,0,1,0,06/14/2023,06/16/2023,2
Male_4,male,3,1,1,1,0,0,12/25/2022,01/26/2023,32
Male_5,male,2,0,1,0,1,0,08/29/2015,09/30/2015,32
Male_6,male,3,1,1,1,0,0,12/25/2022,01/31/2023,37
Male_7,male,9,2,1,0,1,0,12/08/2018,01/16/2019,39
Male_8,male,2,0,1,0,1,0,04/27/2023,06/09/2023,43
Male_9,male,9,6,2,1,0,0,06/02/2018,07/18/2018,46
Male_10,male,3,1,1,1,0,0,11/14/2022,01/23/2023,70
Male_11,male,3,1,2,1,0,1,06/09/2016,08/27/2016,79
Male_12,male,7,2,1,1,0,0,04/23/2018,07/17/2018,85
Male_13,male,8,4,1,0,1,0,04/04/2009,07/07/2009,94
Male_14,male,7,3,1,1,0,0,11/21/2022,04/03/2023,133
Male_15,male,7,3,2,1,1,0,12/12/2022,04/28/2023,137
Male_16,male,18,15,1,0,1,0,04/06/2009,09/02/2009,149
Male_17,male,9,6,1,1,0,0,06/26/2017,12/27/2017,184
Male_18,male,14,6,2,1,0,0,11/24/2007,12/17/2008,389
Male_19,male,15,13,3,1,1,0,11/06/2014,01/16/2016,436
Male_20,male,12,6,3,1,1,0,06/04/2017,12/04/2018,548
Male_21,male,12,5,1,1,0,0,05/29/2017,12/27/2018,577
Male_22,male,5,1,2,1,0,1,10/21/2014,05/27/2016,584
Male_23,male,16,3,1,1,0,0,06/18/2017,02/13/2019,605
Male_24,male,16,11,3,1,0,0,11/02/2014,10/28/2016,726
Male_25,male,6,3,2,1,0,0,01/10/2015,09/10/2017,974
Male_26,male,32,11,5,1,1,1,05/28/2016,02/05/2019,983
Male_27,male,5,3,2,0,1,0,10/09/2015,02/04/2019,1214
Male_28,male,67,23,3,1,0,0,02/28/2015,02/01/2019,1434
Male_29,male,45,21,4,1,0,0,11/20/2014,10/31/2018,1441
Male_30,male,15,6,2,0,1,0,12/05/2018,05/25/2023,1632
